	rH_B	rH_A	Deg_Comp3	Deg_Fans	Deg_Comp1	AppPower_Fans	T_evap_P4_C3	T_disch_C2	T_disch_C3	Current_FBRL	T_air_out_right	Deg_FBRL	T_water_in	p_liquid_C1	p_liquid_C2	p_liquid_C3	Current_Fans	T_amb_AVG_A	ReactPower_FBRL	T_evap_P3_C3	T_evap_P3_C2	T_evap_P3_C1	T_water_out_C3	T_water_out_C2	T_w_cond_out	Deg_Comp2	T_cond_in_C3	T_cond_in_C2	T_cond_in_C1	T_SC_C2	T_SC_C3	T_SC_C1	Voltage_Lights	T_Product_3.3	T_Product_3.2	T_Product_3.5	T_Product_3.4	T_Product_3.6	T_evap_P4_C2	T_amb_AVG_B	T_disch_C1	PF_Lights	Current_Comp1	Current_Comp2	T_evap_P4_C1	ReactPower_Fans	T_cond_C3	Voltage_Total	T_air_in_right	T_air_out_left	Ta_A	Ta_B	PF_FBRL	AppPower_Total	Current_Comp3	ReactPower_Lights	AppPower_FBRL	Current_Total	AppPower_Comp1	T_air_in_left	AppPower_Comp3	T_Product_2.4	T_Product_2.5	T_Product_2.6	T_Product_2.1	T_Product_2.2	T_Product_2.3	T_evap_P5_C1	T_evap_P5_C3	T_evap_P5_C2	T_Product_1.3	T_Product_1.2	T_Product_1.1	AppPower_Comp2	T_Product_1.5	Power_Total	PF_Comp1	PF_Comp2	PF_Comp3	T_evap_out_C3	T_evap_out_C2	p_amb_A	T_evap_out_C1	Power_Fans	V_dot_w	p_disch_C1	p_disch_C2	p_disch_C3	T_evap_C1	T_evap_C2	T_evap_C3	T_SH_C3	T_SH_C2	T_SH_C1	T_Product_4.2	T_Product_4.3	T_liquid_C2	T_Product_4.1	T_Product_4.6	Power_FBRL	T_Product_4.5	Voltage_Comp1	Voltage_Comp3	Voltage_Comp2	Voltage_Fans	Current_Lights	ReactPower_Comp2	ReactPower_Comp3	T_water_out_C1	ReactPower_Comp1	T_evap_P2_C1	T_evap_P2_C2	T_evap_P2_C3	T_cond_C2	Power_Lights	T_cond_C1	Power_Comp2	Power_Comp3	Power_Comp1	T_w_cond_in	PF_Total	T_Product_1.6	Deg_Lights	T_evap_in_C1	T_evap_in_C3	T_evap_in_C2	T_air_out_mid	T_Product_1.4	Voltage_Fans_Boards_Relay_Light	T_Product_3.1	T_liquid_C1	p_evap_out_C3	p_evap_out_C2	p_evap_out_C1	T_liquid_C3	P_A	T_air_in_mid	ReactPower_Total	p_evap_in_C1	p_evap_in_C3	p_evap_in_C2	T_Product_4.4	PF_Fans	T_evap_P1_C1	T_evap_P1_C3	T_evap_P1_C2	AppPower_Lights	h_cond_in_C1	h_vap,sat_HP_C1	h_vap,sat_LP_C1	h_liq,sat_LP_C1	h_liq,sat_HP_C1	h_cond_out_C1	h_evap_out_C1	h_disch_C1	Q_desh_C1	%_desh_C1	m_dot_C1	T_w_pinch_C1	dT_pinch_C1	Q_cond_w_C1	Q_evap_C1	x_cond_out_C1	x_evap,in_C1	T_vap,sat_HP_C1	T_sat_liqline_C1	T_sat_evap_in_C1	T_sat_evap_out_C1	dT_SH_C1	dT_SC_C1	dT_cond_C1	dT_evap_C1	dT_glide_C1	h_cond_in_C2	h_vap,sat_HP_C2	h_vap,sat_LP_C2	h_liq,sat_LP_C2	h_liq,sat_HP_C2	h_cond_out_C2	h_evap_out_C2	h_disch_C2	Q_desh_C2	%_desh_C2	m_dot_C2	T_w_pinch_C2	dT_pinch_C2	Q_cond_w_C2	Q_evap_C2	x_cond_out_C2	x_evap,in_C2	T_vap,sat_HP_C2	T_sat_liqline_C2	T_sat_evap_in_C2	T_sat_evap_out_C2	dT_SH_C2	dT_SC_C2	dT_cond_C2	dT_evap_C2	dT_glide_C2	h_cond_in_C3	h_vap,sat_HP_C3	h_vap,sat_LP_C3	h_liq,sat_LP_C3	h_liq,sat_HP_C3	h_cond_out_C3	h_evap_out_C3	h_disch_C3	Q_desh_C3	%_desh_C3	m_dot_C3	T_w_pinch_C3	dT_pinch_C3	Q_cond_w_C3	Q_evap_C3	x_cond_out_C3	x_evap,in_C3	T_vap,sat_HP_C3	T_sat_liqline_C3	T_sat_evap_in_C3	T_sat_evap_out_C3	dT_SH_C3	dT_SC_C3	dT_cond_C3	dT_evap_C3	dT_glide_C3	dT_air_in/out_left	dT_air_in/out_mid	dT_air_in/out_right	T_avg_air_in	T_avg_air_out	dT_avg_in/out	Q_evap_tot	COP	Power_Comps	m_dot_w
0			36.11E+00	61.12E+00	32.09E+00	154.24E+00	266.612858	339.44055	340.611834	368.32E-03	274.773243	-25.41E+00	303.1479	10.793522	10.770804	10.776636	659.20E-03		-37.007E+00	267.615998	268.290665	268.212531	308.428134	308.406647		40.19E+00	339.452672	336.823827	334.306682	272.215001	272.494807	272.386676	234.08E+00	276.153419	281.864821	280.513702	278.425672	283.977961	267.203034		338.886133	0.9228E+00	4.7427E+00	4.7365E+00	267.351485	135.05E+00	306.746971	233.87E+00	282.69906	272.857792			0.9032E+00	3.1850E+03	4.1390E+00	-27.049E+00	86.231E+00	4.5394E+00	1.1101E+03	279.739413	967.10E+00	279.014988	279.304278	282.86947	275.261317	280.615993	275.873726	266.16362	265.651242	266.21721	273.993471	277.673384	273.728487	1.1078E+03	277.147187	2.5680E+03	0.8472E+00	0.7639E+00	0.8079E+00	274.867885	274.001583		274.235493	74.501E+00		11.293222	11.404178	11.252216	265.740086	265.595599	265.224133	282.793753	281.555984	281.645407	282.051391	277.944441	307.661369	276.63932	284.23458	77.886E+00	280.995614	234.07E+00	233.65E+00	233.88E+00	233.98E+00	299.89E-03	714.95E+00	569.92E+00	308.33844	589.82E+00	269.012905	269.162237	268.14168	306.72637	64.778E+00	306.806576	846.20E+00	781.33E+00	940.49E+00		0.8063E+00	279.404649	-22.66E+00	270.03061	269.356451	270.314307	273.658632	276.492245	234.12E+00	274.990676	307.569901	2.695898	2.740757	2.758315	307.402164		280.477583	1.8747E+03	3.40597	3.271268	3.445063	281.538511	0.4830E+00	269.642915	268.874081	269.701157	70.199E+00	665.012226279	610.297073185	572.06857558	193.707567473	293.788010029		580.954177411	674.607272364	0.572276919738		8.89869611726							308.484965118	306.746921505	270.624647645	265.601025806	8.6344671943	-0.822979495493		15.370992861	4.4295841943	669.956453022	610.624240703	572.385534423	194.415381431	294.862862796		580.63025731	675.449599236	0.573362188759		8.84472067312							308.863842333	306.666631884	270.909652611	265.456049114	8.54553388577	-0.994737116205		15.5159695524	4.85825788577	675.912579432	610.175228289	570.957632781	191.236638613	293.389423559		582.274069758	678.341237131	0.592273644299		8.68869476681							308.344309476	306.687254078	269.627860093	265.083305594	9.78457940609	-0.714909922146		15.8887130728	4.27314540609	6.881621	6.818951	7.925817	280.972018667	273.763222333	7.20879633333				
1			36.17E+00	61.18E+00	31.97E+00	154.26E+00	266.611884	339.446612	340.610098	368.72E-03	274.778436	-25.37E+00	303.219612	10.792352	10.766909	10.800092	659.98E-03		-36.937E+00	267.610889	268.323795	268.223536	308.460197	308.441845		40.02E+00	339.450097	336.829282	334.308119	272.182458	272.56597	272.348292	233.74E+00	276.155621	281.862796	280.504592	278.417601	283.969628	267.223564		338.900608	0.9231E+00	4.7343E+00	4.7467E+00	267.36348	135.15E+00	306.829749	233.60E+00	282.714563	272.866878			0.9035E+00	3.1831E+03	4.1447E+00	-27.001E+00	86.198E+00	4.5419E+00	1.1066E+03	280.06326	967.41E+00	279.012506	279.300146	282.863479	275.259054	280.612808	275.876267	266.168077	265.682167	266.236977	273.996746	277.679786	273.7171	1.1091E+03	277.149862	2.5691E+03	0.8483E+00	0.7659E+00	0.8073E+00	274.852873	273.988329		274.22352	74.374E+00		11.275573	11.418345	11.269476	265.743624	265.492832	265.212326	282.790547	281.645497	281.629895	282.061202	277.936903	307.680151	276.631696	284.226252	77.883E+00	280.995294	233.75E+00	233.41E+00	233.65E+00	233.74E+00	300.30E-03	713.12E+00	570.93E+00	308.366415	585.98E+00	269.017754	269.170562	268.148875	306.712609	64.791E+00	306.802447	849.40E+00	780.97E+00	938.75E+00		0.8071E+00	279.405644	-22.62E+00	270.020249	269.368728	270.330857	273.660462	276.487352	233.78E+00	274.985253	307.604155	2.694479	2.728306	2.758745	307.413779		280.728021	1.8700E+03	3.410289	3.263213	3.434901	281.535236	0.4821E+00	269.653096	268.891466	269.730333	70.192E+00	665.069044935	610.244693155	572.103711673	193.785968505	293.616548334		580.932200429	674.688660341	0.573668840953		8.90182380142							308.424469066	306.742789277	270.656227894	265.604569917	8.61895008254	-0.861365722972		15.5640447492	4.41567908254	669.925764322	610.665749939	572.303373897	194.231782711	294.999719542		580.658412458	675.421419473	0.570235692405		8.8059577874							308.912038889	306.652854832	270.835748391	265.35293009	8.6353989101	-1.02729616814		15.8156845768	4.9779269101	675.857602736	610.226576236	570.890253711	191.087267963	293.557283791		582.254412727	678.288642175	0.591021537801		8.68356741229							308.403555373	306.770119973	269.567510736	265.071459312	9.78141368822	-0.64365902656		16.0971553549	4.29726868822	7.196382	7.067559	7.936127	281.168614667	273.768592	7.40002266667				
2			36.18E+00	60.96E+00	32.09E+00	153.22E+00	266.631817	339.410918	340.626659	368.15E-03	274.785104	-25.32E+00	303.13048	10.755973	10.748341	10.774182	654.84E-03		-36.851E+00	267.622753	268.319672	268.24471	308.470962	308.468948		40.03E+00	339.456432	336.816299	334.31572	272.099534	272.459264	272.198485	234.03E+00	276.147463	281.850983	280.508389	278.41187	283.969625	267.203845		338.895272	0.9227E+00	4.7323E+00	4.7397E+00	267.375192	133.96E+00	306.738304	233.88E+00	282.675257	272.879293			0.9039E+00	3.1858E+03	4.1492E+00	-27.068E+00	86.170E+00	4.5404E+00	1.1075E+03	279.970219	969.73E+00	279.026507	279.30038	282.865602	275.261878	280.625809	275.889886	266.158828	265.667842	266.203241	273.996203	277.677407	273.728928	1.1086E+03	277.150098	2.5698E+03	0.8472E+00	0.7657E+00	0.8071E+00	274.84887	274.000319		274.224011	74.370E+00		11.28558	11.401591	11.275795	265.694374	265.590637	265.21429	282.78458	281.559681	281.679636	282.064307	277.936454	307.697421	276.6269	284.224128	77.892E+00	280.992443	234.03E+00	233.72E+00	233.89E+00	233.98E+00	300.06E-03	713.06E+00	572.48E+00	308.391269	588.34E+00	269.038643	269.174455	268.145072	306.646955	64.796E+00	306.673949	848.78E+00	782.71E+00	938.27E+00		0.8066E+00	279.394687	-22.67E+00	270.047669	269.360807	270.346619	273.671489	276.493044	234.06E+00	274.980953	307.625464	2.694715	2.740155	2.752753	307.42904		280.722256	1.8739E+03	3.401907	3.277992	3.429718	281.553243	0.4854E+00	269.668386	268.883297	269.719428	70.222E+00	665.054462551	610.274404182	572.035495101	193.633767516	293.713783966		580.95731833	674.64853633	0.571814231998		8.88267092563							308.458778202	306.614155102	270.594918073	265.555155586	8.66885541385	-1.01130889791		15.5674217472	4.49251341385	669.948345735	610.616654379	572.261406632	194.1380344	294.837862447		580.630566818	675.394852656	0.572841630106		8.84312384945							308.855036929	306.587131759	270.798005618	265.451069311	8.54924968939	-1.11028924147		15.6715080227	4.89554968939	675.852718552	610.245352605	571.013795027	191.361185618	293.61870593		582.246707564	678.305428189	0.591029467206		8.68393786134							308.425230419	306.678577544	269.678172054	265.073429756	9.77544024436	-0.750462455871		16.0491475777	4.28737724436	7.090926	7.050767	7.890153	281.122577333	273.778628667	7.34394866667				
3			36.01E+00	60.90E+00	32.10E+00	152.72E+00	266.60329	339.4173	340.626295	368.18E-03	274.780154	-25.31E+00	303.138516	10.775121	10.755122	10.776503	653.19E-03		-36.827E+00	267.612776	268.308986	268.216487	308.397755	308.426852		40.09E+00	339.459732	336.807457	334.317905	272.176948	272.513069	272.306814	233.92E+00	276.156253	281.857688	280.513849	278.417036	283.973393	267.198009		338.852093	0.9229E+00	4.7450E+00	4.7343E+00	267.352282	133.44E+00	306.746502	233.75E+00	283.075624	272.868019			0.9040E+00	3.1854E+03	4.1479E+00	-27.021E+00	86.137E+00	4.5424E+00	1.1101E+03	280.163379	968.80E+00	279.024702	279.283705	282.858983	275.271594	280.636359	275.886869	266.140746	265.648631	266.226181	274.004501	277.6735	273.735597	1.1065E+03	277.144031	2.5705E+03	0.8471E+00	0.7650E+00	0.8089E+00	274.851603	273.998151		274.249071	74.271E+00		11.264317	11.391786	11.238644	265.713174	265.502828	265.216941	282.784662	281.645323	281.685897	282.062251	277.933661	307.643993	276.634004	284.221062	77.868E+00	281.00454	233.95E+00	233.57E+00	233.73E+00	233.80E+00	300.08E-03	712.66E+00	569.62E+00	308.371016	589.86E+00	269.00065	269.170338	268.14054	306.670941	64.784E+00	306.741621	846.48E+00	783.65E+00	940.41E+00		0.8070E+00	279.413176	-22.64E+00	270.027524	269.359924	270.325787	273.656396	276.499138	233.95E+00	274.989444	307.584807	2.695034	2.729516	2.75504	307.383433		280.559225	1.8721E+03	3.39929	3.271917	3.443576	281.552923	0.4863E+00	269.64377	268.888727	269.716527	70.193E+00	665.123835243	610.211237788	572.014173904	193.586208928	293.507124172		580.990395842	674.619566925	0.572617329433		8.89042360056							308.385853224	306.681897695	270.575758209	265.574022836	8.67504816385	-0.902909305418		15.6920531639	4.45350116385	669.958943625	610.587883387	572.373522008	194.388532706	294.74308245		580.670083871	675.436559817	0.571406366897		8.81138056101							308.821651307	306.611142523	270.898846156	265.362962665	8.63518833526	-1.03285047712		15.9031133353	4.96282433526	675.966332553	610.134788875	570.963056853	191.2486655	293.257338835		582.250042727	678.410010831	0.59315352749		8.68768362075							308.297679885	306.686783868	269.632718788	265.076093044	9.77550995615	-0.696649132275		16.1899829561	4.28383095615	7.29536	6.902829	8.29547	281.266076	273.768189667	7.49788633333				
4			36.18E+00	60.96E+00	32.14E+00	153.09E+00	266.610268	339.386249	340.603728	368.23E-03	274.77477	-25.32E+00	303.17385	10.822304	10.760969	10.769402	654.50E-03		-36.847E+00	267.61317	268.305897	268.228919	308.428896	308.417034		40.14E+00	339.450705	336.798081	334.310615	272.167541	272.457441	272.469815	233.97E+00	276.152203	281.863746	280.499908	278.414201	283.972523	267.217078		338.871431	0.9228E+00	4.7346E+00	4.7346E+00	267.384211	133.85E+00	306.721419	233.82E+00	282.862922	272.882461			0.9040E+00	3.1830E+03	4.1431E+00	-27.049E+00	86.166E+00	4.5374E+00	1.1079E+03	280.311831	968.00E+00	279.014925	279.300689	282.867327	275.26606	280.634691	275.895982	266.184707	265.680816	266.219743	274.00594	277.689319	273.732989	1.1071E+03	277.139752	2.5658E+03	0.8467E+00	0.7645E+00	0.8072E+00	274.867418	274.016376		274.227222	74.312E+00		11.27785	11.410516	11.252029	265.759786	265.642514	265.053375	282.964043	281.523862	281.617436	282.066176	277.941445	307.674073	276.626605	284.219015	77.890E+00	280.986581	234.00E+00	233.64E+00	233.83E+00	233.91E+00	300.11E-03	713.70E+00	571.37E+00	308.35807	589.43E+00	269.005789	269.174536	268.14364	306.691613	64.797E+00	306.908026	846.34E+00	781.38E+00	938.08E+00		0.8061E+00	279.402489	-22.66E+00	270.018586	269.359863	270.338702	273.66354	276.501768	234.00E+00	274.979484	307.588211	2.675414	2.746451	2.760713	307.413977		280.890798	1.8745E+03	3.405291	3.27161	3.429883	281.552003	0.4854E+00	269.662003	268.881866	269.726542	70.217E+00	665.067332745	610.251456272	572.063049063	193.695237285	293.638677243		580.930477832	674.620939164	0.573373846301		8.90754159486							308.432277592	306.848479846	270.619680732	265.620786515	8.6064354853	-0.73973115356		15.734397152	4.3977994853	669.883557548	610.642818365	572.262743303	194.14101997	294.924100079		580.632121333	675.317273982	0.573089252585		8.86113763329							308.88540938	306.63183795	270.799207663	265.503120615	8.51325538471	-1.04223504985		15.8520630514	4.83558138471	675.908995909	610.174671478	570.960491163	191.242976506	293.387604197		582.355368661	678.324780919	0.587889672493		8.62639366708							308.343667254	306.661673237	269.630420522	264.911964882	9.95545311809	-0.752303762619		16.4432187848	4.44789811809	7.42937	7.227258	8.088152	281.355183667	273.773590333	7.58159333333				
5			36.21E+00	61.01E+00	32.06E+00	153.45E+00	266.58849	339.393985	340.576519	368.30E-03	274.778955	-25.33E+00	303.196708	10.797446	10.717406	10.780816	656.05E-03		-36.862E+00	267.607008	268.322984	268.226097	308.420255	308.417569		40.08E+00	339.429602	336.780853	334.314379	272.03756	272.507865	272.399042	233.92E+00	276.145772	281.850276	280.499557	278.403267	283.958974	267.212035		338.865816	0.9229E+00	4.7353E+00	4.7443E+00	267.376028	134.23E+00	306.76173	233.80E+00	282.620752	272.89518			0.9039E+00	3.1859E+03	4.1463E+00	-27.037E+00	86.165E+00	4.5420E+00	1.1078E+03	280.046891	968.65E+00	279.024226	279.287237	282.861779	275.256454	280.636834	275.886629	266.166988	265.65043	266.243335	273.994619	277.679738	273.732245	1.1094E+03	277.129505	2.5692E+03	0.8475E+00	0.7651E+00	0.8069E+00	274.871897	273.992922		274.241987	74.366E+00		11.284425	11.402988	11.249354	265.739504	265.659954	265.207023	282.814874	281.482968	281.652483	282.049398	277.922602	307.649843	276.624013	284.212305	77.882E+00	280.982671	233.95E+00	233.62E+00	233.83E+00	233.91E+00	300.14E-03	714.32E+00	572.21E+00	308.339499	588.10E+00	269.014539	269.181161	268.131146	306.537403	64.794E+00	306.820419	848.81E+00	781.57E+00	938.84E+00		0.8064E+00	279.390389	-22.65E+00	270.037107	269.34885	270.367369	273.664359	276.490511	233.95E+00	274.975907	307.571377	2.693842	2.748569	2.758244	307.403865		280.647094	1.8746E+03	3.401874	3.273835	3.459694	281.520053	0.4846E+00	269.654493	268.889059	269.727342	70.209E+00	665.055174626	610.270976496	572.035226311	193.633167924	293.702563338		580.965439814	674.590150087	0.572371723796		8.89892845075							308.454819314	306.760778167	270.594676523	265.600440586	8.64154641422	-0.810598833018		15.5044717476	4.43666641422	669.869793339	610.620751299	572.50354399	194.679240403	294.851363185		580.583906038	675.355265427	0.574134650529		8.86906557137							308.859792082	306.477465356	271.015836165	265.520616075	8.47230592477	-1.17237764439		15.5842962581	4.84675292477	675.872472255	610.166705244	570.979082581	191.284201729	293.361576875		582.289087454	678.27535135	0.591354419616		8.68251614769							308.334479596	306.702030128	269.647074534	265.06614031	9.80575669034	-0.701834872041		16.0387720237	4.28270969034	7.151711	6.982735	7.841797	281.104912333	273.779498	7.32541433333				
6			36.20E+00	60.92E+00	32.07E+00	153.07E+00	266.601785	339.363608	340.566828	368.08E-03	274.784311	-25.26E+00	303.208086	10.788767	10.752034	10.791772	654.52E-03		-36.747E+00	267.603242	268.299117	268.222655	308.402314	308.397614		39.97E+00	339.424481	336.78529	334.297978	272.175483	272.566336	272.377229	233.90E+00	276.161661	281.864686	280.508103	278.425043	283.982541	267.21345		338.845187	0.9228E+00	4.7261E+00	4.7392E+00	267.36479	133.77E+00	306.8004	233.76E+00	282.598827	272.89639			0.9044E+00	3.1828E+03	4.1498E+00	-27.043E+00	86.103E+00	4.5384E+00	1.1054E+03	279.844805	969.50E+00	279.008477	279.305095	282.873825	275.264604	280.623753	275.874369	266.178908	265.65483	266.252003	273.999419	277.678714	273.730006	1.1079E+03	277.142249	2.5682E+03	0.8474E+00	0.7664E+00	0.8069E+00	274.866607	273.967741		274.21713	74.406E+00		11.284302	11.426891	11.277044	265.749658	265.608367	265.134477	282.88213	281.509374	281.617472	282.058831	277.932838	307.634535	276.642042	284.237037	77.867E+00	281.006156	233.89E+00	233.62E+00	233.78E+00	233.87E+00	300.19E-03	711.74E+00	572.64E+00	308.35904	586.84E+00	269.005869	269.171163	268.136984	306.660019	64.795E+00	306.789798	849.10E+00	782.32E+00	936.74E+00		0.8069E+00	279.405926	-22.65E+00	270.030523	269.353705	270.307708	273.657428	276.487853	233.93E+00	274.990058	307.562569	2.685132	2.742306	2.75948	307.384064		280.578766	1.8712E+03	3.411599	3.25954	3.431358	281.529592	0.4861E+00	269.635158	268.891247	269.702799	70.212E+00	665.021193896	610.270611447	572.114362994	193.809738452	293.70136838		580.918421569	674.54727662	0.572295490193		8.90362760186							308.454397702	306.730125837	270.66580195	265.610627169	8.60650283104	-0.832443162593		15.396838831	4.41989583104	669.807963285	610.690760921	572.274690436	194.167705918	295.082234498		580.566819313	675.222391579	0.5710349762		8.84891595598							308.941093162	306.600209518	270.809951726	265.468859821	8.49888117871	-1.03432548164		15.5386061787	4.83884817871	675.782171736	610.249062479	570.859493378	191.019094809	293.630844432		582.315068444	678.176460185	0.587847405109		8.65405454885							308.429513694	306.740740711	269.539963637	264.993341661	9.87326533948	-0.643323288996		16.0141243395	4.36036333948	6.948415	6.921338	7.814516	281.007466	273.779376333	7.22808966667				
7			36.16E+00	60.89E+00	32.06E+00	153.02E+00	266.607268	339.388608	340.58988	368.33E-03	274.758383	-25.33E+00	303.178954	10.787902	10.732409	10.797092	654.31E-03		-36.864E+00	267.606525	268.325951	268.220108	308.400864	308.397283		40.05E+00	339.431858	336.76867	334.313208	272.102217	272.576138	272.365883	233.92E+00	276.139143	281.854293	280.491932	278.41982	283.971208	267.237657		338.83046	0.9228E+00	4.7399E+00	4.7459E+00	267.351769	133.69E+00	306.81917	233.76E+00	282.664131	272.872268			0.9039E+00	3.1878E+03	4.1510E+00	-27.056E+00	86.171E+00	4.5456E+00	1.1087E+03	279.800376	969.60E+00	279.026187	279.291738	282.859392	275.263238	280.636888	275.898203	266.173422	265.662941	266.231626	274.008412	277.695203	273.736031	1.1095E+03	277.138925	2.5717E+03	0.8475E+00	0.7654E+00	0.8074E+00	274.849336	273.963038		274.229751	74.449E+00		11.275431	11.420926	11.243935	265.769596	265.699542	265.203732	282.795603	281.413496	281.610155	282.049862	277.928564	307.638343	276.627215	284.210868	77.888E+00	280.986681	233.92E+00	233.58E+00	233.78E+00	233.86E+00	300.18E-03	713.97E+00	572.10E+00	308.334244	588.56E+00	268.996213	269.185094	268.137032	306.59056	64.795E+00	306.786744	849.25E+00	782.83E+00	939.63E+00		0.8067E+00	279.404286	-22.66E+00	269.996223	269.358607	270.331068	273.650007	276.503747	233.95E+00	274.973733	307.570861	2.693447	2.753382	2.761908	307.393032		280.794408	1.8746E+03	3.405235	3.257902	3.427177	281.549052	0.4865E+00	269.651467	268.884495	269.714779	70.217E+00	665.080136181	610.244271336	572.062593236	193.694220306	293.615168239		580.92990678	674.542091034	0.572977146826		8.91129978466							308.42398207	306.727069941	270.619271064	265.630630365	8.59912063532	-0.843791059425		15.4556746353	4.36559263532	669.790828767	610.673305851	572.240816487	194.092047427	295.024643393		580.513872196	675.292144056	0.574041612529		8.88350252764							308.92081519	306.530678339	270.779489888	265.560345562	8.40269243821	-1.10766466129		15.5259594382	4.77072243821	675.892760678	610.150560668	570.845768281	190.988680048	293.308841252		582.252579337	678.318715427	0.591871550591		8.6825226923							308.315862783	306.75952824	269.527673071	265.06284168	9.78649431987	-0.633503760295		16.0234633199	4.29576531987	6.928108	7.144401	7.905748	281.086305	273.760219333	7.32608566667				
8			36.06E+00	60.83E+00	32.03E+00	152.61E+00	266.610047	339.348971	340.591151	368.68E-03	274.79466	-25.31E+00	303.240139	10.814126	10.766462	10.798154	653.31E-03		-36.836E+00	267.60151	268.314119	268.221403	308.41571	308.407652		40.01E+00	339.422409	336.757872	334.272776	272.212555	272.558087	272.462129	233.66E+00	276.171836	281.883922	280.522741	278.435405	284.00296	267.220932		338.844134	0.9231E+00	4.7393E+00	4.7394E+00	267.356962	133.25E+00	306.822916	233.50E+00	282.827872	272.874866			0.9040E+00	3.1820E+03	4.1483E+00	-27.003E+00	86.158E+00	4.5423E+00	1.1074E+03	280.002492	967.88E+00	279.010374	279.305245	282.876572	275.246811	280.622557	275.87988	266.165693	265.662635	266.236846	273.996277	277.676364	273.729082	1.1067E+03	277.166999	2.5690E+03	0.8478E+00	0.7659E+00	0.8084E+00	274.88728	273.976872		274.242356	74.391E+00		11.289534	11.410295	11.258662	265.683794	265.610579	265.22185	282.81543	281.516293	281.708562	282.076638	277.960842	307.648472	276.642144	284.248492	77.886E+00	281.01105	233.67E+00	233.32E+00	233.51E+00	233.59E+00	300.43E-03	711.55E+00	569.66E+00	308.342405	587.26E+00	269.008707	269.191242	268.133567	306.711028	64.796E+00	306.87922	847.60E+00	782.48E+00	938.88E+00		0.8073E+00	279.424599	-22.62E+00	270.035578	269.358789	270.3263	273.669973	276.488563	233.69E+00	275.00382	307.567091	2.695624	2.742574	2.751467	307.414829		280.705332	1.8685E+03	3.409758	3.274625	3.437209	281.578036	0.4875E+00	269.63581	268.868406	269.716556	70.197E+00	664.95244294	610.286135402	572.099393455	193.776332194	293.752191994		580.993526337	674.529925454	0.57034095824		8.87776013498							308.472328902	306.819641916	270.652346506	265.544542563	8.69781343683	-0.747449084301		15.6340227702	4.49103543683	669.799810156	610.64217078	572.32204844	194.273505929	294.921965083		580.581150184	675.239634514	0.571732968757		8.8507030417							308.884657494	306.651273529	270.852544689	265.471075859	8.50579614148	-0.997198471025		15.7074894748	4.85522414148	675.830663943	610.194415444	570.985681587	191.298835604	293.452128689		582.307917325	678.279610771	0.591434483563		8.68668262934							308.366442874	306.763277939	269.65298608	265.081018418	9.80626158183	-0.651551060908		16.0975469152	4.27777058183	7.127626	7.035359	8.033212	281.178565333	273.779833	7.39873233333				
9			36.23E+00	60.84E+00	32.13E+00	152.74E+00	266.584752	339.326537	340.578446	367.92E-03	274.794428	-25.27E+00	303.153624	10.755422	10.744702	10.771792	652.71E-03		-36.762E+00	267.605468	268.314874	268.215365	308.406794	308.386202		40.06E+00	339.417625	336.753766	334.278442	272.14428	272.477971	272.26067	234.06E+00	276.152055	281.857821	280.502152	278.416916	283.969092	267.211458		338.81248	0.9228E+00	4.7298E+00	4.7385E+00	267.35335	133.38E+00	306.729862	233.91E+00	282.946729	272.891491			0.9043E+00	3.1851E+03	4.1481E+00	-27.058E+00	86.125E+00	4.5388E+00	1.1070E+03	280.215037	969.64E+00	278.998549	279.284599	282.86625	275.255795	280.629297	275.883571	266.178179	265.644259	266.226174	273.997092	277.678351	273.717822	1.1084E+03	277.124765	2.5680E+03	0.8469E+00	0.7653E+00	0.8067E+00	274.894684	273.994048		274.250811	74.432E+00		11.284302	11.390714	11.246241	265.677532	265.61831	265.154838	282.889846	281.525738	281.723279	282.047234	277.937379	307.639799	276.633404	284.223831	77.885E+00	280.993093	234.05E+00	233.75E+00	233.92E+00	234.01E+00	300.02E-03	713.43E+00	573.05E+00	308.320597	588.67E+00	269.000594	269.195636	268.125976	306.634079	64.799E+00	306.672001	848.32E+00	782.19E+00	937.50E+00		0.8063E+00	279.399484	-22.66E+00	270.019617	269.35728	270.352498	273.6736	276.480506	234.09E+00	274.975872	307.561331	2.687575	2.743512	2.750706	307.40189		280.376155	1.8752E+03	3.402361	3.270061	3.453368	281.559202	0.4873E+00	269.641774	268.880982	269.733559	70.222E+00	664.980271168	610.270611447	572.039192817	193.642016145	293.70136838		581.01089534	674.478737413	0.569881230624		8.87553128279							308.454397702	306.612204555	270.598241078	265.538260938	8.71255006216	-0.949126445058		15.6410460622	4.48135606216	669.84946092	610.584736066	572.45256115	194.565225435	294.732717463		580.606346641	675.249122918	0.572569842787		8.85448499034							308.818000017	306.574242278	270.969957687	265.478831048	8.51521695236	-1.06555672182		15.7004759524	4.87366695236	675.856325515	610.157431911	570.947543302	191.214268002	293.331283932		582.352676683	678.288218345	0.590209221531		8.66288578813							308.323785715	306.670126019	269.618822494	265.013773459	9.88091054123	-0.731763980533		16.1655335412	4.34350654123	7.323546	6.702555	8.152301	281.179307	273.786506333	7.39280066667				
